id,label,path,module,access,document,map,component,source_sha256,api_calls
1,Login,/login,accesso,public,03_PAGINE/01-login.md,03_PAGINE/MAPPE_JSON/login.json,frontend/src/pages/Login.jsx,ca3d6e79eb23b69ffa2dc812f7caed1d60fa99a1667151c16391634acaf9e840,18
2,Gestione riservata,/gestione-riservata,accesso,reserved,03_PAGINE/02-gestione-riservata.md,03_PAGINE/MAPPE_JSON/gestione-riservata.json,frontend/src/pages/GestioneRiservata.jsx,651ce3c0ea77154e839fa6eb990a803805a8d54767ecbb149b281ca104d54138,5
3,Dashboard,/,dashboard,authenticated,03_PAGINE/03-dashboard.md,03_PAGINE/MAPPE_JSON/dashboard.json,frontend/src/pages/Dashboard.jsx,f888c817137e0377f6c80046aae713d7b674d205a643098f62e00e0ee0035000,15
4,Inserimento rapido,/rapido,dashboard,authenticated,03_PAGINE/04-inserimento-rapido.md,03_PAGINE/MAPPE_JSON/inserimento-rapido.json,frontend/src/pages/InserimentoRapido.jsx,89a5966ff8ee48d4e1fe0af45458eec63bd07fb43123f509cb9043595538e27d,7
5,Archivio fatture,/fatture,fatture,authenticated,03_PAGINE/05-fatture.md,03_PAGINE/MAPPE_JSON/fatture.json,frontend/src/pages/ArchivioFattureRicevute.jsx,49acf4d68865bdba90c7999f0dca513131e36c7368c528125a7495ce703c5a50,17
6,Corrispettivi,/fatture/corrispettivi,fatture,authenticated,03_PAGINE/06-corrispettivi.md,03_PAGINE/MAPPE_JSON/corrispettivi.json,frontend/src/pages/Corrispettivi.jsx,42006f5d35b28a596c2e3c4e724f96e29069ec551a3b617fd186a436fc839d0b,27
7,Fornitori,/fornitori,fornitori,authenticated,03_PAGINE/07-fornitori.md,03_PAGINE/MAPPE_JSON/fornitori.json,frontend/src/pages/Fornitori.jsx,39f0407aad52c1ab38de9925cc8d04eb98d5f503a97dd915d201c0569ec0eb50,12
8,Prima Nota,/prima-nota,prima-nota,authenticated,03_PAGINE/08-prima-nota.md,03_PAGINE/MAPPE_JSON/prima-nota.json,frontend/src/pages/PrimaNota.jsx,843b9b744555f44791bbc0345006b61d9df0e23a5df9a179558d2b3bb3a5e67f,13
9,Pulizia Prima Nota,/prima-nota/pulizia,prima-nota,authenticated,03_PAGINE/09-prima-nota-pulizia.md,03_PAGINE/MAPPE_JSON/prima-nota-pulizia.json,frontend/src/pages/PuliziaPrimaNota.jsx,931a8c7dde0e064f52c47685e93f956ed4eb96a11496d3a8a5320b6e56d11428,9
10,Cedolini e salari,/salari,personale,authenticated,03_PAGINE/10-salari.md,03_PAGINE/MAPPE_JSON/salari.json,frontend/src/pages/CedoliniSalari.jsx,6b78c9b4abf473146fb339b73f628d3701850563fb0930e2d54120b84623abb4,3
