state,decision,method,path,router,reason
quarantine,verificare,GET,/api/bilancio/confronto-annuale,accounting.bilancio,nessun riferimento noto (FE/scheduler/chat/test): verificare prima di deprecare
active,tenere,GET,/api/bilancio/conto-economico,accounting.bilancio,in uso: FE
quarantine,verificare,GET,/api/bilancio/conto-economico-dettagliato,accounting.bilancio,nessun riferimento noto (FE/scheduler/chat/test): verificare prima di deprecare
active,tenere,GET,/api/bilancio/export-pdf,accounting.bilancio,in uso: FE
active,tenere,GET,/api/bilancio/export/pdf/confronto,accounting.bilancio,in uso: FE
active,tenere,GET,/api/bilancio/riepilogo,accounting.bilancio,in uso: chat
active,tenere,GET,/api/bilancio/stato-patrimoniale,accounting.bilancio,in uso: FE
active,tenere,GET,/api/centri-costo,accounting.centri_costo,in uso: FE
active,tenere,POST,/api/centri-costo,accounting.centri_costo,in uso: FE
quarantine,verificare,POST,/api/centri-costo/assegna-cdc-fatture,accounting.centri_costo,nessun riferimento noto (FE/scheduler/chat/test): verificare prima di deprecare
quarantine,verificare,GET,/api/centri-costo/mapping-categorie,accounting.centri_costo,nessun riferimento noto (FE/scheduler/chat/test): verificare prima di deprecare
quarantine,verificare,POST,/api/centri-costo/ribaltamento/calcola,accounting.centri_costo,nessun riferimento noto (FE/scheduler/chat/test): verificare prima di deprecare
quarantine,verificare,POST,/api/centri-costo/ribaltamento/quote-ricavo,accounting.centri_costo,nessun riferimento noto (FE/scheduler/chat/test): verificare prima di deprecare
active,tenere,GET,/api/centri-costo/utile-obiettivo,accounting.centri_costo,in uso: FE
active,tenere,POST,/api/centri-costo/utile-obiettivo,accounting.centri_costo,in uso: FE
active,tenere,GET,/api/centri-costo/utile-obiettivo/per-cdc,accounting.centri_costo,in uso: FE
active,tenere,GET,/api/centri-costo/utile-obiettivo/suggerimenti,accounting.centri_costo,in uso: FE
active,tenere,GET,/api/contabilita/aliquote-irap,accounting.contabilita_avanzata,in uso: FE
active,tenere,GET,/api/contabilita/bilancio-dettagliato,accounting.contabilita_avanzata,in uso: FE
active,tenere,GET,/api/contabilita/calcolo-imposte,accounting.contabilita_avanzata,in uso: FE
quarantine,verificare,GET,/api/contabilita/categorizzazione-preview,accounting.contabilita_avanzata,nessun riferimento noto (FE/scheduler/chat/test): verificare prima di deprecare
active,tenere,GET,/api/contabilita/export/pdf-dichiarazione,accounting.contabilita_avanzata,in uso: FE
quarantine,admin-only,POST,/api/contabilita/inizializza-piano-esteso,accounting.contabilita_avanzata,"endpoint di migrazione/manutenzione one-shot: tenere ma Admin-only, disabilitabile, documentato, non esposto a lungo (§7)"
quarantine,verificare,GET,/api/contabilita/piano-conti-esteso,accounting.contabilita_avanzata,nessun riferimento noto (FE/scheduler/chat/test): verificare prima di deprecare
active,tenere,POST,/api/contabilita/ricategorizza-fatture,accounting.contabilita_avanzata,in uso: FE
